time,open,high,low,close,vwap,volume,count
2020-04-09 10:00:00,7334.00,7334.00,7334.00,7334.00,0.00,0.00000000,0
2020-04-09 11:00:00,7334.00,7334.00,7170.88,7170.88,7235.51,2.90497363,29
2020-04-09 12:00:00,7147.01,7265.89,7133.90,7265.89,7233.78,2.35764319,26
2020-04-09 13:00:00,7265.89,7265.89,7265.89,7265.89,0.00,0.00000000,0
2020-04-09 14:00:00,7329.13,7329.13,7307.64,7307.64,7308.35,1.97204361,7
2020-04-09 15:00:00,7307.64,7314.87,7307.64,7314.87,7314.87,0.00500000,1
2020-04-09 16:00:00,7314.87,7314.87,7268.90,7275.79,7289.58,2.37049312,13
2020-04-09 17:00:00,7275.79,7322.43,7275.79,7322.43,7312.19,0.00837947,2
2020-04-09 18:00:00,7283.41,7296.20,7283.41,7296.20,7295.73,0.27624872,2
2020-04-09 19:00:00,7296.20,7296.20,7265.00,7265.00,7265.50,0.91041000,4
2020-04-09 20:00:00,7265.00,7288.62,7265.00,7288.62,7271.36,1.68530000,5
2020-04-09 21:00:00,7291.10,7308.29,7291.10,7305.36,7292.77,0.44768424,4
2020-04-09 22:00:00,7305.36,7318.60,7305.36,7318.60,7318.57,0.11480851,3
2020-04-09 23:00:00,7318.60,7318.60,7318.60,7318.60,0.00,0.00000000,0
2020-04-10 00:00:00,7318.60,7318.60,7318.60,7318.60,0.00,0.00000000,0
2020-04-10 01:00:00,7289.61,7289.61,7275.63,7275.63,7287.88,0.15737300,3
2020-04-10 02:00:00,7275.63,7275.63,7230.00,7230.00,7230.00,0.00207468,1
2020-04-10 03:00:00,7204.78,7204.78,7176.71,7176.72,7197.38,2.34706285,11
2020-04-10 04:00:00,7128.61,7129.32,7128.61,7129.32,7128.81,0.11488312,3
2020-04-10 05:00:00,7100.00,7100.00,6949.26,6974.41,7001.72,1.77971525,33
2020-04-10 06:00:00,6931.02,6988.21,6931.02,6972.30,6974.27,0.98028216,5
2020-04-10 07:00:00,6972.30,6972.30,6931.49,6943.30,6943.09,0.71000000,3
2020-04-10 08:00:00,6891.23,6944.97,6891.23,6941.27,6933.07,0.30793686,7
2020-04-10 09:00:00,6941.27,6941.27,6900.00,6900.00,6907.10,0.23481555,7
2020-04-10 10:00:00,6900.00,6900.00,6900.00,6900.00,0.00,0.00000000,0
2020-04-10 11:00:00,6900.00,6900.00,6900.00,6900.00,0.00,0.00000000,0
2020-04-10 12:00:00,6900.00,6918.23,6900.00,6903.34,6913.40,2.37260562,13
2020-04-10 13:00:00,6918.51,6918.51,6900.00,6900.00,6913.21,0.35000000,4
2020-04-10 14:00:00,6882.99,6882.99,6879.46,6879.47,6880.08,0.06070606,3
2020-04-10 15:00:00,6834.38,6842.01,6786.00,6814.39,6814.74,2.03292541,12
2020-04-10 16:00:00,6814.39,6838.68,6802.21,6836.40,6829.81,1.02766058,10
2020-04-10 17:00:00,6836.40,6866.10,6836.40,6866.10,6866.10,0.67013046,1
2020-04-10 18:00:00,6866.10,6866.10,6866.10,6866.10,0.00,0.00000000,0
2020-04-10 19:00:00,6866.10,6866.10,6866.10,6866.10,0.00,0.00000000,0
2020-04-10 20:00:00,6866.10,6926.66,6866.10,6908.21,6917.48,0.99200000,7
2020-04-10 21:00:00,6908.21,6908.21,6908.21,6908.21,0.00,0.00000000,0
2020-04-10 22:00:00,6908.21,6908.21,6864.17,6864.17,6864.17,0.06992114,2
2020-04-10 23:00:00,6864.17,6864.17,6864.17,6864.17,0.00,0.00000000,0
2020-04-11 00:00:00,6864.17,6883.62,6864.17,6878.91,6881.14,0.03655000,4
2020-04-11 01:00:00,6878.91,6878.91,6878.91,6878.91,0.00,0.00000000,0
